                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.83201,                0.79949,                 1.2945,                 0.9179,                0.92808,                0.96567,                0.80566,                0.66274,                0.45639,                 1.2477,               0.007426,               0.007426,               0.007426
                     54,                0.82847,                0.79605,                  1.299,                0.93566,                0.91897,                 0.9644,                0.80481,                0.66503,                 0.4492,                 1.2497,              0.0073765,              0.0073765,              0.0073765
                     55,                0.84491,                0.78768,                 1.3042,                0.92958,                0.92192,                0.96435,                0.80703,                0.65649,                0.44964,                 1.2448,               0.007327,               0.007327,               0.007327
                     56,                0.82698,                0.77413,                 1.2944,                0.91458,                0.92276,                0.96239,                0.80361,                0.66482,                0.45596,                 1.2473,              0.0072775,              0.0072775,              0.0072775
                     57,                0.81305,                0.76304,                 1.2865,                0.92025,                0.92648,                0.96377,                0.81152,                 0.6507,                0.44954,                 1.2324,               0.007228,               0.007228,               0.007228
                     58,                0.82391,                0.77139,                 1.2937,                0.93358,                0.92348,                0.96702,                0.81601,                0.64306,                0.43631,                 1.2262,              0.0071785,              0.0071785,              0.0071785
                     59,                 0.8066,                0.73961,                  1.274,                 0.9355,                0.92844,                0.96809,                0.81161,                0.64707,                0.43752,                 1.2262,               0.007129,               0.007129,               0.007129
                     60,                0.81623,                0.74487,                 1.2828,                 0.9373,                0.92435,                0.96672,                0.80914,                0.64122,                0.43193,                 1.2299,              0.0070795,              0.0070795,              0.0070795
                     61,                0.81899,                0.75956,                 1.2901,                  0.933,                0.92724,                0.96511,                0.81309,                0.63287,                0.42968,                 1.2181,                0.00703,                0.00703,                0.00703
                     62,                0.81129,                0.75123,                 1.2796,                0.93371,                0.93156,                0.96795,                0.81334,                 0.6427,                0.42974,                 1.2287,              0.0069805,              0.0069805,              0.0069805
                     63,                0.80006,                0.73421,                 1.2731,                0.94053,                0.92024,                0.96784,                0.81167,                 0.6469,                0.44095,                 1.2308,               0.006931,               0.006931,               0.006931
                     64,                0.79485,                0.72608,                 1.2738,                0.94498,                0.93336,                0.97184,                0.82246,                0.63153,                0.41564,                  1.216,              0.0068815,              0.0068815,              0.0068815
                     65,                0.81197,                0.73892,                 1.2787,                 0.9342,                0.92974,                0.97105,                  0.818,                0.63502,                0.41946,                 1.2118,               0.006832,               0.006832,               0.006832
                     66,                0.79075,                0.72479,                 1.2613,                 0.9277,                0.93742,                0.97267,                0.82457,                0.61974,                0.41808,                  1.197,              0.0067825,              0.0067825,              0.0067825
                     67,                0.79556,                0.72932,                 1.2697,                0.94715,                0.93322,                0.97076,                 0.8238,                0.61942,                0.40884,                 1.1951,               0.006733,               0.006733,               0.006733
                     68,                0.78614,                0.72359,                 1.2626,                0.94322,                0.93645,                0.97466,                0.82842,                0.62133,                0.40422,                 1.2016,              0.0066835,              0.0066835,              0.0066835
                     69,                0.77849,                0.70989,                 1.2547,                0.93953,                0.94174,                0.97392,                 0.8316,                0.61495,                0.40586,                 1.1941,               0.006634,               0.006634,               0.006634
                     70,                0.77995,                 0.7053,                 1.2595,                0.94439,                0.93828,                0.97352,                0.82937,                0.61151,                0.40249,                 1.1911,              0.0065845,              0.0065845,              0.0065845
                     71,                0.77413,                0.69577,                 1.2573,                0.93906,                0.94135,                0.97442,                 0.8334,                0.60318,                0.40148,                 1.1843,               0.006535,               0.006535,               0.006535
                     72,                0.78384,                0.70194,                 1.2633,                0.93743,                0.93607,                0.97212,                0.82919,                0.60404,                0.40548,                 1.1841,              0.0064855,              0.0064855,              0.0064855
                     73,                0.76786,                0.69215,                 1.2512,                0.94054,                0.94143,                0.97483,                0.83147,                0.60364,                0.39637,                 1.1837,               0.006436,               0.006436,               0.006436
                     74,                0.77969,                 0.7036,                 1.2564,                0.94251,                0.93761,                0.97504,                0.83282,                0.59859,                0.39316,                 1.1794,              0.0063865,              0.0063865,              0.0063865
                     75,                0.77649,                0.69811,                 1.2545,                0.94397,                0.94215,                0.97525,                0.83837,                0.59419,                0.38845,                 1.1741,               0.006337,               0.006337,               0.006337
                     76,                0.75432,                0.67276,                 1.2395,                0.94824,                0.93961,                0.97717,                0.83627,                0.59657,                0.38635,                 1.1756,              0.0062875,              0.0062875,              0.0062875
                     77,                0.76509,                0.68362,                 1.2463,                 0.9374,                0.94406,                0.97636,                0.83618,                0.58557,                0.39591,                 1.1657,               0.006238,               0.006238,               0.006238
                     78,                0.75718,                0.67304,                 1.2444,                0.94234,                0.94373,                0.97465,                 0.8357,                0.58698,                 0.3919,                 1.1663,              0.0061885,              0.0061885,              0.0061885
                     79,                0.77013,                0.68323,                 1.2524,                0.94165,                0.94411,                0.97768,                0.83889,                0.58775,                0.38993,                 1.1682,               0.006139,               0.006139,               0.006139
